City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Catamarca,AR,-28.47,-65.79,76.33,62,92,1.99,moderate rain
301,Dingle,PH,11.0,122.67,76.44,87,85,6.31,overcast clouds
302,Ahuimanu,US,21.44,-157.84,75.2,78,20,6.93,few clouds
303,Tokmak,UA,47.25,35.71,39.31,79,18,4.5,few clouds
304,Okha,RU,53.57,142.95,13.96,95,97,12.93,overcast clouds
305,Ranong,TH,9.97,98.63,78.26,83,51,5.59,broken clouds
306,Sorland,NO,67.67,12.69,41.0,80,75,5.82,broken clouds
307,Auchterarder,GB,56.3,-3.71,42.01,95,95,1.01,overcast clouds
308,Alice Springs,AU,-23.7,133.88,75.2,27,0,8.08,clear sky
309,Qaqortoq,GL,60.72,-46.03,19.4,62,75,1.12,broken clouds
310,Tailai,CN,46.38,123.4,12.29,80,3,7.36,clear sky
311,Takoradi,GH,4.88,-1.76,80.94,81,96,10.2,moderate rain
312,Saint-Denis,FR,48.92,2.33,52.0,71,0,4.7,clear sky
313,Leshan,CN,29.56,103.76,52.72,65,95,1.14,overcast clouds
314,Margate,GB,51.38,1.39,48.0,77,100,1.01,overcast clouds
315,Zaysan,KZ,47.47,84.87,16.52,89,100,0.43,overcast clouds
316,Azul,AR,-36.78,-59.86,66.0,30,0,7.0,clear sky
317,Vestmannaeyjar,IS,63.44,-20.27,37.4,69,40,39.15,scattered clouds
318,Diamantino,BR,-14.41,-56.45,92.19,43,2,6.58,clear sky
319,Thompson,CA,55.74,-97.86,15.8,92,90,9.17,light snow
320,Gao,ML,16.64,1.64,90.97,10,10,10.29,clear sky
321,Chuy,UY,-33.7,-53.46,77.65,53,100,16.31,overcast clouds
322,Chincha Alta,PE,-13.41,-76.13,64.4,82,90,5.82,overcast clouds
323,Komsomolskiy,UZ,40.43,71.72,30.2,80,100,2.37,fog
324,Clinton,US,42.59,-82.92,48.0,100,90,12.75,overcast clouds
325,Geraldton,AU,-28.77,114.6,68.0,64,1,17.22,clear sky
326,Kupang,ID,-10.17,123.58,81.88,79,65,4.45,broken clouds
327,Sarny,UA,51.34,26.6,32.7,94,16,7.99,few clouds
328,Chicama,PE,-7.84,-79.15,66.2,82,77,11.41,mist
329,Dakar,SN,14.69,-17.44,86.0,45,0,13.87,clear sky
330,Lere,NG,10.39,8.57,88.36,24,0,4.27,clear sky
331,Mandera,KE,3.94,41.87,91.09,42,99,6.58,overcast clouds
332,Inhambane,MZ,-23.86,35.38,78.8,88,75,5.59,thunderstorm with light rain
333,Nattam,IN,10.23,78.23,77.0,88,75,6.93,light intensity drizzle
334,Soldatskaya,RU,43.82,43.82,37.4,86,75,2.24,light intensity shower rain
335,Eureka,US,40.8,-124.16,41.0,86,1,4.7,clear sky
336,Mogadishu,SO,2.04,45.34,81.7,80,2,15.75,light rain
337,Kungurtug,RU,50.6,97.52,3.94,88,8,1.25,clear sky
338,Suba,PH,10.84,121.01,82.92,82,19,20.83,few clouds
339,Champerico,GT,14.3,-91.92,78.01,79,3,1.01,clear sky
340,Sioux Lookout,CA,50.1,-91.92,28.4,92,90,9.17,overcast clouds
341,Novoagansk,RU,61.94,76.66,8.8,95,100,7.43,overcast clouds
342,Buraydah,SA,26.33,43.98,75.2,53,75,11.41,thunderstorm
343,Khandyga,RU,62.67,135.6,-25.04,86,100,1.34,overcast clouds
344,Saint-Louis,SN,16.33,-15.0,91.4,17,0,2.24,clear sky
345,Hambantota,LK,6.12,81.12,78.8,94,20,3.36,few clouds
346,Pathein,MM,16.78,94.73,72.81,80,13,4.72,few clouds
347,Pokhara,NP,28.23,83.98,59.59,34,100,4.72,overcast clouds
348,Malaya,PH,14.4,121.34,84.2,66,75,14.99,moderate rain
349,Tulum,MX,20.22,-87.47,82.4,69,20,9.17,few clouds
350,Forecariah,GN,9.43,-13.09,91.92,38,0,4.25,clear sky
351,Muli,MV,2.92,73.57,82.87,78,46,13.13,light rain
352,Neyshabur,IR,36.21,58.8,49.6,44,73,5.68,broken clouds
353,Prince Rupert,CA,54.32,-130.32,44.6,87,90,18.34,light rain
354,Esperance,AU,-33.87,121.9,64.4,88,75,16.11,broken clouds
355,Peniche,PT,39.36,-9.38,60.01,71,5,11.01,clear sky
356,Buyo,PH,13.11,123.87,79.45,86,94,9.13,overcast clouds
357,Nawalgarh,IN,27.85,75.27,60.39,51,0,6.58,clear sky
358,Norman,US,35.22,-97.44,55.99,50,1,20.8,clear sky
359,Sinnamary,GF,5.38,-52.95,84.31,70,23,9.4,few clouds
360,Yulara,AU,-25.24,130.99,86.0,27,38,3.36,scattered clouds
361,Abha,SA,18.22,42.51,59.0,93,75,9.17,broken clouds
362,Rawson,AR,-43.3,-65.1,67.53,26,0,12.86,clear sky
363,Verkhoyansk,RU,67.54,133.38,-8.81,89,93,1.79,overcast clouds
